"PickUPS Ship","PickUPS Ship"
"PickUPS Location Information", "נקודת איסוף של PickUPS"
"lat", "קו רוחב"
"lng","קו אורך"
"title","שם העסק"
"street","רחוב"
"city","עיר"
"zip","פרטים"
"iid","מזהה נקודת איסוף"
"dist","מרחק"
"Print WB Labels","ייצוא הזמנות לכלי הדפסה של PickUPS"
"Please choose a pickup location","נא לבחור נקודת איסוף"
"Ship to Applicable Countries","תחום גיאוגרפי עבור שיטת המשלוח"
"Ship to Specific Countries","אפשר משלוח לארצות מסוימות"
"Minimum for Free Shipping","סכום מינימום למשלוח חינם"
"Minimum subtotal amount to get free shipping", "סכום מינימום מסך הביניים של ההזמנה לקבלת המשלוח בחינם"